gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Itfg2,0.013146541236448005,0.9712715529337658,-0.12152230561459,0.999987547004426,False,False,False
Tulp3,-0.13491630401424623,0.7859257820161194,-0.193968878212319,0.999987547004426,False,False,False
Gtf2h4,0.06103327739205996,0.8517340762742104,-0.329420485915971,0.999987547004426,False,False,False
Tubb5,-0.13364692380410353,0.34578462264260423,-0.328728512528913,0.999987547004426,False,False,False
Nom1,-0.07121511190503867,0.7695102517101734,-0.279451780750034,0.999987547004426,False,False,False
Ergic1,0.20751957779115235,0.16906020583621587,-0.392926860822892,0.999987547004426,False,False,False
Acap1,-0.4460550419790382,0.004270140509518563,-0.0709489469352729,0.999987547004426,True,False,False
Ifrd1,0.4181089732047109,0.027328784907419253,0.694856422293261,0.999987547004426,True,False,False
Stk38l,-0.16524878835035864,0.5407450932731949,0.662625399889656,0.999987547004426,False,False,False
Gstt1,3.0603652738383813,3.2892263936895146e-07,-0.275048713017496,0.999987547004426,True,False,False
Gstt3,1.1000080664180918,2.449825284744788e-06,-0.548013920473147,0.999987547004426,True,False,False
Ddt,0.8100035271842924,5.7465326930324887e-05,-0.0743600495254251,0.999987547004426,True,False,False
Ddx18,-0.09647355547733047,0.6263772282656914,0.1119501554655,0.999987547004426,False,False,False
Ubl3,0.5221820903378076,5.350382018162238e-07,-0.116420992279621,0.999987547004426,True,False,False
Eef1e1,-0.07800963394295138,0.7463182019369935,-0.000993214500002,0.999987547004426,False,False,False
Akt1,0.3310093342264757,0.007435652625030344,-0.243449077821766,0.999987547004426,True,False,False
Tcirg1,0.021175242706810406,0.9169672793840236,-0.61286428195513,0.999987547004426,False,False,False
Naglu,0.21385318318185986,0.39925130031231293,-0.56714784155832,0.999987547004426,False,False,False
Coasy,0.1557830089531618,0.531224069827523,-0.287087787487443,0.999987547004426,False,False,False
Smo,0.976193074156073,0.009963470208849327,-0.258252807211871,0.999987547004426,True,False,False
Tspan33,0.18171298831951727,0.36149047092888104,-0.27515282832919,0.999987547004426,False,False,False
Crnkl1,0.15831983846788877,0.37883979065067735,0.349918399909661,0.999987547004426,False,False,False
Rin2,0.2154311692639954,0.2272333002432734,-0.629265180601239,0.999987547004426,False,False,False
Chordc1,-0.20446487570508673,0.20903628798168836,-0.13057114365532,0.999987547004426,False,False,False
Rtcb,0.022701769146177036,0.9099469539588411,-0.498660788686673,0.999987547004426,False,False,False
Pwp1,0.11851518105554833,0.5251708981133513,-0.375397769137698,0.999987547004426,False,False,False
Fbxo7,-0.03705393843033778,0.8838822500297288,0.0249548569817737,0.999987547004426,False,False,False
Capns1,0.4207900406301792,0.003227002148144395,-0.582935314816544,0.999987547004426,True,False,False
Clpb,0.6075801361916111,9.538513080018653e-05,0.897352641611855,0.999987547004426,True,False,False
Septin7,0.038979110907155716,0.8070161212417601,-0.193679702536684,0.999987547004426,False,False,False
Rac1,0.1435852980055823,0.20784970822363757,0.209792352733937,0.999987547004426,False,False,False
Nup214,-0.32915062846801807,0.02005319164323794,-0.194555612175231,0.999987547004426,True,False,False
Ugp2,0.4232476621376561,0.0008696472500628356,-0.161495125086843,0.999987547004426,True,False,False
Nacc1,0.16554387827407407,0.5505090959840879,0.0526855339921362,0.999987547004426,False,False,False
Nfix,0.7019090997149005,1.3733556547783911e-05,0.242382321533613,0.999987547004426,True,False,False
Slc1a5,0.11841921681110325,0.4924806669950159,-0.814285346847874,0.999987547004426,False,False,False
Uba1,0.06978684459737809,0.6852265639871236,-0.308326823975113,0.999987547004426,False,False,False
Vwf,-0.12035837227028551,0.7965820815969562,-0.55676154438631,0.999987547004426,False,False,False
Vsig2,-1.657250925820125,0.04727537969621798,-0.0563614386971789,0.999987547004426,True,False,False
Esam,-0.31013213987597726,0.03382956550795997,-0.299934795021852,0.999987547004426,True,False,False
Spa17,-0.7907341928603352,0.16439391595940156,0.694019801179446,0.999987547004426,False,False,False
Fam50a,0.08828749629594991,0.5774940056973609,-0.114037743075001,0.999987547004426,False,False,False
Emd,0.22270060959756557,0.1654120165942074,-0.0112526746906783,0.999987547004426,False,False,False
Taco1,-0.14335494047701944,0.7249539683589981,-0.0028512493696517,0.999987547004426,False,False,False
Gria3,0.7382538290359889,0.007441723059754333,-0.672246759985695,0.999987547004426,True,False,False
Sipa1l2,0.47215129274362483,0.1707600576378365,0.886548138465087,0.999987547004426,False,False,False
Ap4e1,0.03946228654468042,0.9123927946689812,-0.247757557020711,0.999987547004426,False,False,False
Blvra,0.3918744983686019,0.0010626689577713398,-0.921437390417644,0.999987547004426,True,False,False
Pdzd4,-0.14427894501280245,0.9085338510093045,-0.509711874003624,0.999987547004426,False,False,False
Pnck,1.5204644895432717,0.037505379166661905,-0.612836835774221,0.999987547004426,True,False,False
Ssr4,0.15333559978919795,0.3459609521641331,-0.0993767861182304,0.999987547004426,False,False,False
Fam98a,-0.11652311505973756,0.6509939188256393,-0.266276214355913,0.999987547004426,False,False,False
Ltbp2,-0.39793135876716174,0.44762858137607814,-0.796220159868199,0.999987547004426,False,False,False
Kmt2a,-0.032446215645126356,0.9065569729327863,-0.416376063931211,0.999987547004426,False,False,False
Ift46,-0.15312981046103658,0.5368746446057585,-0.0136085221170674,0.999987547004426,False,False,False
Tmem25,0.6325647760793832,0.28055712805233024,-0.279753349630275,0.999987547004426,False,False,False
Trappc6a,0.2622338552463945,0.08119737916924742,-0.201647035906428,0.999987547004426,False,False,False
Supt6,-0.3099231663185603,0.07656148360305479,-0.28283724164738,0.999987547004426,False,False,False
Spag5,-0.6578975776531373,0.022994022172528657,-0.36660678268575,0.999987547004426,True,False,False
Unc119,-1.2714395289710811,1.5206172484151937e-18,-0.60576333800334,0.999987547004426,True,False,False
Ccne1,-0.21578037405831302,0.44150999825733434,-0.304072073943792,0.999987547004426,False,False,False
Hsf2bp,0.7322455260409071,0.365683464726794,-0.273646654240763,0.999987547004426,False,False,False
Bbc3,0.20616987607780501,0.4524816527443202,-0.604332708429086,0.999987547004426,False,False,False
Mybpc3,0.17286382301196276,0.8540959362123737,0.349722544026711,0.999987547004426,False,False,False
Psmc3,0.1514460472874628,0.23491691253702213,-0.0536339648011817,0.999987547004426,False,False,False
